,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,has_availability,predictions
6322,Brooklyn,Clinton Hill,Private room,259,1,94,1.85,11,365,yes,268
6323,Brooklyn,Park Slope,Entire home/apt,700,7,0,,1,0,no,708
6324,Manhattan,Upper West Side,Entire home/apt,200,31,0,,3,316,yes,204
6325,Manhattan,Other,Entire home/apt,250,1,1,0.02,1,0,no,235
6326,Brooklyn,Greenpoint,Entire home/apt,249,30,71,0.94,1,273,yes,252
6327,Queens,Astoria,Entire home/apt,125,2,4,0.92,1,14,yes,137
6328,Manhattan,East Harlem,Private room,75,3,4,0.09,1,0,no,73
6329,Manhattan,Harlem,Entire home/apt,165,3,22,1.03,1,0,no,173
6330,Brooklyn,Bushwick,Entire home/apt,150,2,11,0.46,1,0,no,153
6331,Manhattan,Upper West Side,Private room,66,1,1,0.34,1,17,yes,63
6332,Brooklyn,Other,Private room,65,3,47,1.28,1,300,yes,83
6333,Manhattan,Upper West Side,Entire home/apt,260,2,0,,1,0,no,261
6334,Manhattan,East Village,Private room,200,4,2,0.07,1,39,yes,188
6335,Queens,Other,Private room,85,1,23,1.75,4,114,yes,74
6336,Queens,Long Island City,Private room,89,1,9,6.28,10,358,yes,95
6337,Brooklyn,Bedford-Stuyvesant,Private room,81,2,9,3.91,6,128,yes,101
6338,Manhattan,Midtown,Entire home/apt,240,2,12,2.0,13,304,yes,213
6339,Brooklyn,Other,Entire home/apt,245,3,18,1.94,2,255,yes,244
6340,Queens,Astoria,Private room,100,15,15,0.32,2,61,yes,84
6341,Brooklyn,Other,Entire home/apt,225,4,95,1.26,1,251,yes,227
6342,Manhattan,West Village,Entire home/apt,200,4,2,0.15,1,66,yes,200
6343,Manhattan,Harlem,Private room,71,5,6,0.18,2,305,yes,64
6344,Brooklyn,Other,Entire home/apt,69,1,42,6.09,1,57,yes,65
6345,Manhattan,Washington Heights,Private room,80,3,1,1.0,1,112,yes,78
6346,Brooklyn,Crown Heights,Entire home/apt,125,2,4,0.09,1,0,no,128
6347,Manhattan,Hell's Kitchen,Entire home/apt,300,2,0,,1,0,no,296
6348,Brooklyn,Williamsburg,Private room,42,8,0,,1,0,no,47
6349,Brooklyn,Bedford-Stuyvesant,Entire home/apt,139,2,124,2.09,1,231,yes,131
6350,Manhattan,Lower East Side,Entire home/apt,140,3,4,0.17,1,0,no,117
6351,Brooklyn,Bedford-Stuyvesant,Entire home/apt,298,3,17,0.33,1,35,yes,313
6352,Manhattan,East Village,Private room,69,6,30,1.08,3,43,yes,72
6353,Manhattan,Financial District,Entire home/apt,245,29,1,0.26,96,311,yes,258
6354,Brooklyn,Bushwick,Private room,68,2,37,0.49,1,23,yes,65
6355,Manhattan,East Harlem,Entire home/apt,250,1,7,0.9,1,78,yes,235
6356,Brooklyn,Williamsburg,Private room,80,5,0,,1,38,yes,74
6357,Brooklyn,Greenpoint,Entire home/apt,70,1,15,4.09,6,0,no,72
6358,Brooklyn,Other,Entire home/apt,200,3,0,,1,1,yes,217
6359,Brooklyn,Park Slope,Private room,300,1,0,,1,0,no,304
6360,Manhattan,Other,Entire home/apt,245,4,12,0.62,1,0,no,258
6361,Brooklyn,Other,Private room,65,3,3,0.16,1,364,yes,77
6362,Brooklyn,Greenpoint,Private room,45,17,0,,1,0,no,37
6363,Brooklyn,Greenpoint,Entire home/apt,129,30,8,0.12,52,344,yes,138
6364,Manhattan,Lower East Side,Entire home/apt,285,5,70,0.62,1,328,yes,278
6365,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,170,3,19,0.81,1,0,no,186
6366,Brooklyn,Williamsburg,Entire home/apt,249,2,38,4.38,5,46,yes,245
6367,Queens,Other,Entire home/apt,125,5,6,0.16,1,157,yes,149
6368,Queens,Other,Entire home/apt,68,2,33,3.6,1,282,yes,55
6369,Manhattan,Upper East Side,Entire home/apt,137,7,1,0.33,1,12,yes,133
6370,Brooklyn,Other,Entire home/apt,100,2,8,0.17,1,359,yes,92
6371,Brooklyn,Bedford-Stuyvesant,Private room,40,2,50,7.11,1,18,yes,40
6372,Manhattan,Hell's Kitchen,Entire home/apt,173,1,4,4.0,1,120,yes,162
6373,Queens,Other,Entire home/apt,149,1,41,3.34,2,140,yes,128
6374,Manhattan,Washington Heights,Private room,40,3,10,0.46,1,0,no,53
6375,Brooklyn,Greenpoint,Private room,80,2,0,,2,0,no,92
6376,Manhattan,East Harlem,Private room,85,2,123,4.09,1,64,yes,61
6377,Manhattan,East Harlem,Entire home/apt,139,2,3,0.89,1,74,yes,133
6378,Brooklyn,Bushwick,Private room,45,1,24,6.61,1,167,yes,37
6379,Manhattan,Lower East Side,Entire home/apt,145,1,0,,1,0,no,145
6380,Queens,Long Island City,Entire home/apt,350,2,182,2.2,1,272,yes,348
6381,Manhattan,Midtown,Entire home/apt,150,3,27,1.79,1,320,yes,146
6382,Queens,Other,Private room,70,5,9,0.29,2,138,yes,83
6383,Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,3,73,2.5,1,329,yes,205
6384,Brooklyn,Bedford-Stuyvesant,Entire home/apt,90,2,51,0.86,1,179,yes,76
6385,Manhattan,East Village,Private room,250,3,0,,1,365,yes,244
6386,Manhattan,Hell's Kitchen,Entire home/apt,150,30,2,0.06,23,213,yes,165
6387,Manhattan,East Village,Entire home/apt,79,2,1,0.04,1,0,no,88
6388,Manhattan,Upper West Side,Entire home/apt,289,3,3,0.13,1,0,no,299
6389,Manhattan,Upper East Side,Entire home/apt,145,2,3,0.12,1,0,no,148
6390,Brooklyn,Flatbush,Private room,38,3,0,,1,7,yes,38
6391,Manhattan,Lower East Side,Entire home/apt,180,4,13,0.35,1,0,no,199
6392,Manhattan,Washington Heights,Private room,65,5,3,0.1,1,179,yes,71
6393,Brooklyn,Crown Heights,Entire home/apt,100,3,0,,1,247,yes,94
6394,Brooklyn,Other,Entire home/apt,89,1,113,6.7,1,13,yes,92
6395,Brooklyn,Other,Entire home/apt,75,2,48,4.02,1,169,yes,91
6396,Queens,Long Island City,Private room,61,3,1,0.04,1,0,no,68
6397,Brooklyn,Other,Entire home/apt,175,3,10,0.74,1,292,yes,171
6398,Brooklyn,Bedford-Stuyvesant,Private room,150,1,1,0.06,1,0,no,151
6399,Bronx,Other,Private room,149,1,0,,1,363,yes,138
6400,Brooklyn,Bedford-Stuyvesant,Entire home/apt,100,28,2,0.11,1,177,yes,95
6401,Manhattan,Harlem,Private room,75,4,0,,1,0,no,89
6402,Manhattan,Upper West Side,Entire home/apt,583,30,1,1.0,6,334,yes,574
6403,Manhattan,Midtown,Entire home/apt,85,30,2,0.05,5,83,yes,78
6404,Manhattan,East Harlem,Entire home/apt,110,2,1,0.02,1,0,no,103
6405,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,3,0,,1,0,no,147
6406,Queens,Astoria,Private room,70,7,34,0.48,1,140,yes,98
6407,Manhattan,Midtown,Private room,300,4,0,,1,0,no,305
6408,Brooklyn,Williamsburg,Private room,75,14,0,,1,0,no,76
6409,Manhattan,Other,Private room,95,2,2,2.0,2,23,yes,96
6410,Manhattan,Harlem,Private room,160,3,10,0.12,3,359,yes,158
6411,Brooklyn,Other,Private room,50,1,6,6.0,3,83,yes,50
6412,Manhattan,Upper East Side,Private room,87,2,2,2.0,1,76,yes,81
6413,Manhattan,Lower East Side,Private room,90,2,77,2.5,2,68,yes,100
6414,Brooklyn,Fort Greene,Entire home/apt,107,1,0,,1,49,yes,114
6415,Manhattan,Harlem,Private room,50,1,6,0.12,1,0,no,56
6416,Bronx,Other,Entire home/apt,145,2,76,3.04,1,139,yes,142
6417,Manhattan,Upper West Side,Private room,95,6,22,1.47,1,0,no,106
6418,Brooklyn,Williamsburg,Entire home/apt,250,7,10,0.45,1,5,yes,250
6419,Manhattan,Financial District,Entire home/apt,180,1,2,0.05,1,0,no,178
6420,Manhattan,Harlem,Private room,130,1,1,0.03,2,0,no,134
6421,Brooklyn,Other,Entire home/apt,62,2,0,,1,0,no,73
6422,Queens,Astoria,Private room,100,4,0,,1,114,yes,108
6423,Manhattan,Hell's Kitchen,Entire home/apt,190,1,4,4.0,1,36,yes,199
6424,Brooklyn,Clinton Hill,Private room,75,3,7,0.25,1,0,no,74
6425,Manhattan,Other,Private room,110,1,69,4.34,1,176,yes,117
6426,Manhattan,Hell's Kitchen,Entire home/apt,195,5,11,5.08,1,14,yes,201
6427,Manhattan,Chelsea,Entire home/apt,175,7,26,0.8,1,188,yes,172
6428,Queens,Other,Private room,59,3,9,0.27,1,95,yes,44
6429,Brooklyn,Bedford-Stuyvesant,Private room,68,30,11,0.39,1,87,yes,85
6430,Manhattan,Chelsea,Entire home/apt,200,3,43,2.34,1,63,yes,202
6431,Manhattan,Hell's Kitchen,Entire home/apt,120,30,3,0.33,20,346,yes,107
6432,Manhattan,Other,Entire home/apt,349,2,0,,1,365,yes,350
6433,Manhattan,Other,Private room,115,1,0,,2,0,no,99
6434,Brooklyn,Williamsburg,Entire home/apt,99,1,2,0.04,1,0,no,102
6435,Brooklyn,Other,Private room,31,1,60,0.97,5,158,yes,19
6436,Queens,Other,Private room,75,2,0,,1,0,no,53
6437,Manhattan,Other,Entire home/apt,300,4,7,0.12,1,0,no,302
6438,Manhattan,Other,Entire home/apt,250,3,21,3.64,1,148,yes,245
6439,Manhattan,Upper East Side,Entire home/apt,75,30,32,0.67,1,4,yes,91
6440,Manhattan,Other,Private room,200,1,1,0.05,1,0,no,194
6441,Brooklyn,Crown Heights,Private room,100,5,0,,1,69,yes,102
6442,Brooklyn,Fort Greene,Entire home/apt,150,3,4,3.64,1,1,yes,135
6443,Queens,Other,Entire home/apt,195,3,124,2.2,1,305,yes,188
6444,Manhattan,Other,Private room,65,4,1,0.16,1,13,yes,66
6445,Manhattan,Midtown,Entire home/apt,198,2,16,0.51,13,263,yes,195
6446,Queens,Astoria,Entire home/apt,99,3,0,,1,0,no,94
6447,Brooklyn,Williamsburg,Private room,90,6,2,0.16,1,331,yes,88
6448,Queens,Other,Private room,49,2,10,1.15,1,5,yes,59
6449,Manhattan,East Village,Entire home/apt,145,29,3,0.04,1,35,yes,145
6450,Brooklyn,Bedford-Stuyvesant,Private room,50,5,18,0.79,1,0,no,60
6451,Brooklyn,Clinton Hill,Entire home/apt,140,5,5,0.1,1,0,no,160
6452,Brooklyn,Bushwick,Entire home/apt,180,5,1,0.26,1,0,no,180
6453,Manhattan,Hell's Kitchen,Entire home/apt,199,3,4,0.07,1,200,yes,196
6454,Queens,Other,Entire home/apt,95,1,240,9.66,2,253,yes,107
6455,Queens,Astoria,Private room,61,4,107,1.29,2,335,yes,71
6456,Manhattan,Lower East Side,Entire home/apt,149,5,11,0.28,1,0,no,139
6457,Brooklyn,Bushwick,Entire home/apt,90,3,0,,1,0,no,100
6458,Manhattan,East Village,Private room,63,30,1,0.55,1,18,yes,64
6459,Brooklyn,Other,Private room,75,1,0,,1,188,yes,75
6460,Brooklyn,Williamsburg,Entire home/apt,100,6,1,1.0,1,7,yes,99
6461,Manhattan,Other,Entire home/apt,190,2,76,1.68,1,12,yes,190
6462,Brooklyn,Other,Entire home/apt,149,4,9,0.38,1,74,yes,144
6463,Brooklyn,Bedford-Stuyvesant,Entire home/apt,100,3,0,,1,89,yes,116
6464,Manhattan,Harlem,Private room,100,2,0,,1,15,yes,94
6465,Brooklyn,Greenpoint,Private room,43,2,153,6.59,1,14,yes,31
6466,Brooklyn,Bedford-Stuyvesant,Private room,34,4,35,2.36,2,5,yes,21
6467,Brooklyn,Williamsburg,Entire home/apt,104,1,27,1.67,1,84,yes,106
6468,Brooklyn,Williamsburg,Entire home/apt,175,2,2,0.11,1,0,no,181
6469,Brooklyn,Fort Greene,Entire home/apt,120,1,2,0.03,1,0,no,133
6470,Queens,Astoria,Private room,150,2,4,0.17,1,0,no,146
6471,Queens,Other,Entire home/apt,100,1,94,4.73,1,154,yes,94
6472,Manhattan,Financial District,Entire home/apt,225,4,27,0.31,1,169,yes,226
6473,Manhattan,Upper West Side,Entire home/apt,350,4,0,,1,324,yes,379
6474,Brooklyn,Williamsburg,Private room,70,5,0,,1,0,no,82
6475,Queens,Other,Private room,55,6,23,0.76,1,0,no,59
6476,Manhattan,Other,Entire home/apt,316,30,0,,232,311,yes,324
6477,Brooklyn,Williamsburg,Entire home/apt,150,30,5,0.2,2,48,yes,145
6478,Manhattan,East Village,Entire home/apt,250,30,0,,2,221,yes,256
6479,Manhattan,Chelsea,Private room,150,2,37,1.79,1,0,no,137
6480,Brooklyn,Crown Heights,Entire home/apt,150,2,11,0.24,1,0,no,162
6481,Brooklyn,Williamsburg,Entire home/apt,49,7,0,,3,0,no,51
6482,Brooklyn,Crown Heights,Private room,32,1,0,,1,0,no,31
6483,Queens,Other,Private room,55,1,9,1.34,3,30,yes,56
6484,Brooklyn,Flatbush,Entire home/apt,85,2,2,0.05,2,0,no,80
6485,Brooklyn,Other,Entire home/apt,100,1,51,3.81,1,107,yes,80
6486,Manhattan,Other,Private room,60,1,9,6.28,1,352,yes,57
6487,Brooklyn,Other,Entire home/apt,120,3,15,0.39,1,345,yes,116
6488,Manhattan,Other,Private room,73,25,13,0.48,5,38,yes,70
6489,Brooklyn,East Flatbush,Entire home/apt,130,1,9,1.65,1,189,yes,130
6490,Manhattan,Upper East Side,Private room,120,3,0,,2,0,no,132
6491,Manhattan,Upper East Side,Entire home/apt,185,1,4,0.08,1,0,no,181
6492,Manhattan,Other,Private room,135,30,2,0.07,96,303,yes,134
6493,Queens,Other,Private room,50,2,1,0.06,1,0,no,32
6494,Brooklyn,Bushwick,Entire home/apt,105,3,118,1.05,2,9,yes,107
6495,Brooklyn,Park Slope,Entire home/apt,250,1,0,,1,0,no,248
6496,Manhattan,Other,Private room,100,1,4,1.58,9,315,yes,108
6497,Queens,Other,Private room,47,2,79,3.15,10,346,yes,51
6498,Brooklyn,Williamsburg,Entire home/apt,90,4,1,0.02,1,0,no,93
6499,Manhattan,Other,Entire home/apt,190,10,5,0.16,1,0,no,212
6500,Queens,Astoria,Entire home/apt,110,2,67,2.13,1,191,yes,114
6501,Brooklyn,Other,Entire home/apt,250,2,8,0.85,1,29,yes,250
6502,Queens,Long Island City,Private room,75,1,86,2.63,2,337,yes,70
6503,Brooklyn,Other,Private room,65,1,20,3.13,1,146,yes,59
6504,Manhattan,Upper West Side,Private room,140,1,50,3.71,1,69,yes,136
6505,Brooklyn,Bushwick,Private room,50,2,72,2.35,2,293,yes,50
6506,Manhattan,Harlem,Private room,120,3,22,2.1,1,10,yes,123
6507,Brooklyn,Crown Heights,Private room,31,6,0,,1,0,no,31
6508,Queens,Other,Private room,50,1,63,3.94,3,156,yes,50
6509,Brooklyn,Bedford-Stuyvesant,Shared room,32,1,17,2.13,17,87,yes,31
6510,Manhattan,Harlem,Private room,200,1,0,,1,0,no,194
6511,Brooklyn,Williamsburg,Private room,99,3,1,0.02,1,0,no,99
6512,Manhattan,Other,Entire home/apt,250,5,152,1.69,1,109,yes,247
6513,Manhattan,Financial District,Entire home/apt,505,2,8,3.58,327,263,yes,493
6514,Manhattan,Hell's Kitchen,Entire home/apt,395,3,2,2.0,1,152,yes,397
6515,Manhattan,Chelsea,Private room,150,2,41,3.54,4,316,yes,155
6516,Brooklyn,Other,Private room,65,2,30,1.55,4,305,yes,63
6517,Brooklyn,Prospect-Lefferts Gardens,Private room,82,3,62,0.8,1,247,yes,109
6518,Manhattan,Upper West Side,Entire home/apt,253,3,1,0.05,1,0,no,244
6519,Manhattan,Upper West Side,Private room,90,3,2,0.63,2,339,yes,98
6520,Brooklyn,Bedford-Stuyvesant,Private room,55,16,0,,1,0,no,42
6521,Manhattan,East Village,Private room,90,1,8,0.26,2,0,no,98
6522,Queens,Long Island City,Entire home/apt,215,2,59,0.94,1,335,yes,239
6523,Manhattan,Harlem,Entire home/apt,275,3,41,0.79,1,258,yes,289
6524,Brooklyn,Crown Heights,Entire home/apt,60,2,23,6.22,2,33,yes,79
6525,Brooklyn,Williamsburg,Private room,65,1,35,0.88,1,0,no,60
6526,Manhattan,Other,Private room,85,1,1,0.02,1,0,no,85
6527,Queens,Other,Private room,34,30,14,0.41,2,365,yes,45
6528,Brooklyn,Williamsburg,Entire home/apt,179,3,146,2.08,2,282,yes,188
6529,Manhattan,Hell's Kitchen,Entire home/apt,245,2,1,0.03,1,0,no,246
6530,Manhattan,East Harlem,Private room,80,1,54,3.74,3,180,yes,91
6531,Queens,Other,Entire home/apt,99,1,229,5.97,1,7,yes,104
6532,Brooklyn,Bedford-Stuyvesant,Entire home/apt,90,14,0,,1,85,yes,78
6533,Manhattan,East Village,Private room,125,1,2,0.05,1,0,no,124
6534,Brooklyn,Other,Entire home/apt,119,1,1,0.02,1,0,no,116
6535,Brooklyn,Williamsburg,Entire home/apt,224,31,14,0.2,1,219,yes,229
6536,Manhattan,Upper East Side,Shared room,49,1,3,0.08,3,0,no,60
6537,Brooklyn,Williamsburg,Private room,68,28,5,0.53,1,258,yes,68
6538,Brooklyn,Other,Private room,67,3,62,1.65,3,338,yes,44
6539,Manhattan,Other,Private room,79,2,3,0.07,1,0,no,81
6540,Manhattan,Other,Private room,100,2,35,4.32,1,6,yes,82
6541,Manhattan,Upper East Side,Entire home/apt,200,2,0,,1,47,yes,196
6542,Manhattan,Other,Entire home/apt,170,1,11,0.78,1,24,yes,183
6543,Manhattan,Upper East Side,Entire home/apt,120,3,20,1.33,1,157,yes,115
6544,Brooklyn,Park Slope,Private room,85,2,1,0.02,1,0,no,78
6545,Manhattan,Lower East Side,Entire home/apt,124,28,13,0.21,1,38,yes,105
6546,Manhattan,Midtown,Entire home/apt,99,30,2,0.11,31,132,yes,109
6547,Manhattan,East Harlem,Entire home/apt,500,2,0,,1,55,yes,498
6548,Brooklyn,Other,Entire home/apt,110,30,1,1.0,1,1,yes,112
6549,Staten Island,Other,Private room,52,1,3,0.93,3,365,yes,45
6550,Manhattan,Hell's Kitchen,Entire home/apt,700,4,19,1.63,1,134,yes,702
6551,Brooklyn,Crown Heights,Entire home/apt,100,7,52,0.67,1,56,yes,104
6552,Manhattan,Other,Entire home/apt,150,1,5,0.46,1,23,yes,150
6553,Brooklyn,Williamsburg,Entire home/apt,180,2,0,,1,6,yes,187
6554,Brooklyn,Williamsburg,Entire home/apt,95,30,11,0.28,1,32,yes,104
6555,Manhattan,Midtown,Entire home/apt,125,2,109,5.95,1,53,yes,123
6556,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,11,0.93,1,6,yes,116
6557,Brooklyn,Clinton Hill,Private room,40,31,0,,1,54,yes,41
6558,Manhattan,Other,Entire home/apt,250,2,28,3.98,1,0,no,261
6559,Brooklyn,Bushwick,Private room,50,7,0,,2,89,yes,52
6560,Manhattan,Other,Private room,250,3,18,0.35,2,336,yes,225
6561,Manhattan,Other,Private room,80,1,2,0.03,1,0,no,100
6562,Brooklyn,Other,Private room,88,2,12,0.26,1,180,yes,89
6563,Manhattan,Other,Entire home/apt,290,4,3,0.08,1,0,no,295
6564,Manhattan,Harlem,Private room,52,3,163,2.17,2,0,no,52
6565,Manhattan,Hell's Kitchen,Private room,125,1,45,1.13,1,322,yes,113
6566,Brooklyn,Bedford-Stuyvesant,Private room,60,6,0,,2,67,yes,66
6567,Brooklyn,Bushwick,Private room,45,7,0,,1,14,yes,46
6568,Manhattan,Other,Private room,79,4,2,0.05,2,0,no,86
6569,Manhattan,East Village,Entire home/apt,180,5,3,1.58,1,19,yes,191
6570,Manhattan,Upper West Side,Entire home/apt,136,31,2,0.1,8,365,yes,136
6571,Manhattan,Upper West Side,Entire home/apt,150,5,48,0.93,1,0,no,153
6572,Brooklyn,Greenpoint,Entire home/apt,100,2,3,0.2,1,2,yes,96
6573,Manhattan,Upper West Side,Private room,100,5,11,0.39,1,0,no,111
6574,Queens,Other,Private room,75,5,30,0.37,3,180,yes,83
6575,Manhattan,Upper West Side,Private room,80,5,3,0.65,1,188,yes,92
6576,Manhattan,Hell's Kitchen,Entire home/apt,145,2,3,0.46,1,0,no,132
6577,Manhattan,East Harlem,Private room,80,1,60,4.76,2,0,no,77
6578,Brooklyn,Clinton Hill,Entire home/apt,125,3,0,,1,31,yes,127
6579,Brooklyn,Bedford-Stuyvesant,Entire home/apt,98,3,144,2.87,1,249,yes,97
6580,Brooklyn,Flatbush,Entire home/apt,86,14,1,0.04,3,349,yes,85
6581,Brooklyn,Williamsburg,Entire home/apt,146,4,58,2.5,2,17,yes,150
6582,Brooklyn,Bushwick,Private room,100,1,0,,1,341,yes,109
6583,Brooklyn,Other,Entire home/apt,128,3,13,0.99,1,2,yes,119
6584,Manhattan,East Village,Entire home/apt,100,5,0,,1,0,no,118
6585,Queens,Other,Private room,70,3,0,,1,90,yes,60
6586,Manhattan,Hell's Kitchen,Shared room,100,2,18,0.41,1,365,yes,107
6587,Brooklyn,Crown Heights,Entire home/apt,90,2,2,0.05,1,0,no,103
6588,Manhattan,Upper East Side,Private room,90,1,75,7.76,2,283,yes,88
6589,Brooklyn,Williamsburg,Entire home/apt,130,10,49,0.48,1,152,yes,121
6590,Manhattan,Upper East Side,Entire home/apt,399,5,3,3.0,1,135,yes,397
6591,Manhattan,Other,Private room,90,20,1,0.05,1,0,no,85
6592,Manhattan,Hell's Kitchen,Entire home/apt,250,4,0,,1,0,no,235
6593,Brooklyn,Other,Entire home/apt,223,1,1,0.03,3,0,no,218
6594,Manhattan,Upper West Side,Entire home/apt,90,4,22,0.27,1,239,yes,117
6595,Queens,Other,Private room,65,2,13,1.49,2,77,yes,65
6596,Manhattan,Financial District,Entire home/apt,188,2,4,1.08,327,298,yes,194
6597,Queens,Other,Private room,55,1,63,0.89,2,341,yes,52
6598,Manhattan,Midtown,Private room,90,2,13,1.88,1,24,yes,112
6599,Queens,Astoria,Private room,100,2,15,0.33,1,318,yes,101
6600,Brooklyn,Bushwick,Private room,69,14,6,0.35,2,319,yes,66
6601,Manhattan,East Village,Entire home/apt,179,4,13,0.38,1,0,no,156
6602,Brooklyn,Crown Heights,Private room,125,1,32,1.5,2,351,yes,119
6603,Manhattan,Hell's Kitchen,Entire home/apt,99,30,19,0.54,1,2,yes,97
6604,Brooklyn,Greenpoint,Private room,100,2,8,0.23,1,0,no,99
6605,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,3,9,0.31,3,298,yes,133
6606,Manhattan,Chelsea,Entire home/apt,85,14,1,0.15,1,16,yes,80
6607,Brooklyn,Bushwick,Private room,95,2,20,0.45,2,191,yes,97
6608,Brooklyn,Williamsburg,Private room,100,5,0,,1,0,no,106
6609,Brooklyn,Other,Entire home/apt,450,30,14,0.21,1,1,yes,450
6610,Brooklyn,Bushwick,Private room,53,21,24,0.49,8,114,yes,50
6611,Brooklyn,Bedford-Stuyvesant,Entire home/apt,149,2,70,4.48,1,309,yes,149
6612,Manhattan,Washington Heights,Private room,85,2,11,2.21,1,227,yes,93
6613,Brooklyn,Crown Heights,Private room,60,2,7,0.34,1,0,no,67
6614,Manhattan,Upper West Side,Entire home/apt,100,1,4,0.29,1,0,no,110
6615,Manhattan,East Village,Private room,91,5,395,5.16,2,1,yes,98
6616,Brooklyn,Bedford-Stuyvesant,Private room,90,2,55,2.42,3,110,yes,101
6617,Brooklyn,Fort Greene,Private room,65,10,0,,1,0,no,66
6618,Manhattan,Other,Entire home/apt,155,5,2,0.05,1,0,no,142
6619,Manhattan,Hell's Kitchen,Private room,99,1,0,,5,365,yes,96
6620,Brooklyn,Other,Private room,42,3,28,0.74,2,355,yes,40
6621,Manhattan,Other,Entire home/apt,350,7,4,0.33,1,51,yes,367
6622,Manhattan,Harlem,Private room,75,3,14,0.29,3,20,yes,82
6623,Manhattan,Other,Entire home/apt,150,5,9,0.14,1,0,no,157
6624,Queens,Astoria,Private room,75,1,50,1.59,2,61,yes,71
6625,Manhattan,Upper East Side,Private room,195,5,56,1.1,4,145,yes,197
6626,Manhattan,Upper East Side,Entire home/apt,99,30,0,,5,344,yes,93
6627,Brooklyn,Fort Greene,Private room,110,2,0,,3,66,yes,110
6628,Manhattan,Financial District,Entire home/apt,208,6,100,1.14,1,310,yes,203
6629,Manhattan,Upper West Side,Private room,58,3,2,0.1,2,0,no,63
6630,Brooklyn,Other,Private room,39,2,54,5.63,2,60,yes,39
6631,Manhattan,West Village,Private room,195,1,7,0.08,1,129,yes,184
6632,Brooklyn,Greenpoint,Private room,60,3,52,1.49,2,0,no,56
6633,Manhattan,East Village,Entire home/apt,250,3,21,0.44,1,0,no,244
6634,Manhattan,Other,Entire home/apt,125,30,0,,91,153,yes,117
6635,Manhattan,East Harlem,Entire home/apt,130,2,1,0.02,1,0,no,139
6636,Manhattan,Other,Private room,70,1,7,2.59,1,73,yes,73
6637,Manhattan,Other,Private room,100,1,0,,7,256,yes,122
6638,Brooklyn,Park Slope,Entire home/apt,170,13,4,0.11,1,46,yes,159
6639,Manhattan,Other,Entire home/apt,80,1,73,4.54,1,183,yes,93
6640,Manhattan,Hell's Kitchen,Private room,100,2,8,0.97,3,0,no,113
6641,Brooklyn,Bushwick,Private room,32,3,25,1.62,3,90,yes,33
6642,Manhattan,East Harlem,Entire home/apt,155,2,18,2.73,1,123,yes,164
6643,Manhattan,Other,Entire home/apt,94,2,1,0.12,1,3,yes,99
6644,Brooklyn,Bedford-Stuyvesant,Entire home/apt,100,5,5,0.27,1,0,no,87
6645,Brooklyn,Other,Private room,55,1,1,0.3,1,0,no,50
6646,Brooklyn,Other,Private room,89,1,213,4.42,2,38,yes,101
6647,Manhattan,Chelsea,Private room,85,1,146,3.62,12,352,yes,79
6648,Brooklyn,Other,Entire home/apt,120,30,2,0.19,2,342,yes,120
6649,Brooklyn,Bushwick,Private room,47,7,2,0.18,1,0,no,43
6650,Manhattan,Upper East Side,Entire home/apt,135,3,5,0.13,1,0,no,126
6651,Brooklyn,Bedford-Stuyvesant,Private room,43,3,5,0.79,1,0,no,43
6652,Manhattan,Upper East Side,Entire home/apt,135,12,4,0.28,1,171,yes,138
6653,Brooklyn,Other,Private room,75,2,0,,1,88,yes,75
6654,Brooklyn,Williamsburg,Private room,75,4,6,0.27,1,0,no,68
6655,Queens,Other,Private room,60,30,1,0.03,2,363,yes,60
6656,Brooklyn,Bedford-Stuyvesant,Private room,100,1,113,1.43,1,0,no,116
6657,Manhattan,Upper East Side,Entire home/apt,180,6,5,0.21,1,0,no,174
6658,Brooklyn,Williamsburg,Entire home/apt,175,3,1,0.2,1,0,no,161
6659,Manhattan,East Village,Private room,100,7,1,0.03,1,0,no,93
6660,Bronx,Other,Shared room,40,1,26,1.82,1,141,yes,41
6661,Manhattan,Lower East Side,Entire home/apt,200,30,0,,2,97,yes,219
6662,Brooklyn,Crown Heights,Entire home/apt,149,5,35,1.81,2,12,yes,152
6663,Queens,Other,Private room,37,4,42,0.98,1,228,yes,38
6664,Manhattan,West Village,Entire home/apt,200,1,0,,1,0,no,209
6665,Manhattan,Midtown,Entire home/apt,140,1,1,0.02,1,0,no,135
6666,Manhattan,Hell's Kitchen,Entire home/apt,200,1,6,0.16,1,0,no,206
6667,Manhattan,Harlem,Private room,60,5,28,1.07,5,267,yes,57
6668,Queens,Other,Private room,88,2,2,1.5,1,180,yes,93
6669,Brooklyn,Bedford-Stuyvesant,Entire home/apt,165,3,72,3.16,7,226,yes,149
6670,Brooklyn,Williamsburg,Entire home/apt,180,3,0,,1,0,no,199
6671,Manhattan,East Harlem,Private room,85,2,1,1.0,2,36,yes,64
6672,Brooklyn,Bushwick,Private room,70,1,1,0.04,2,115,yes,66
6673,Manhattan,East Harlem,Private room,40,30,0,,1,46,yes,3
6674,Manhattan,Lower East Side,Entire home/apt,95,10,2,0.04,1,0,no,89
